Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
555,284842,96,21.67,10426,24.34
556,285122,348,65.64,10458,24.34
557,285381,58,17.1,10463,24.34
558,286193,57,16.93,10495,24.44
559,288168,63,17.91,10554,24.34
560,288530,280,48.67,10559,24.44
561,288762,448,112.41,10564,24.34
562,288786,227,38.83,10569,24.44
563,289398,348,65.64,10601,24.44
564,289524,188,32.01,10606,24.34
565,290130,432,101.61,10638,24.34
566,290703,224,38.29,10643,24.23
567,291331,291,50.97,10675,24.23
568,291690,71,19.06,10680,24.34
569,292913,263,45.37,10712,24.23
570,293701,99,21.91,10745,24.23
571,295627,147,26.19,10804,24.23
572,296041,352,66.89,10836,24.44
573,296239,108,22.63,10841,24.44
574,297046,120,23.58,10873,24.34
575,297248,71,19.06,10878,24.44
576,297703,127,24.18,10883,24.34
577,298395,51,15.86,10915,24.34
578,299199,71,19.06,10947,24.44
579,299468,339,62.98,10952,24.44
580,299631,217,37.04,10957,24.44
581,299774,277,48.09,10962,24.34
582,300443,403,88.99,10995,24.34
583,300986,423,97.36,11000,24.34
584,302295,156,27.28,11062,24.44
585,303064,210,35.78,11094,24.23
586,303599,53,16.22,11099,24.34
587,304797,332,61.17,11130,24.34
588,305071,377,76.28,11163,24.23
589,305115,274,47.52,11168,24.34
590,305227,152,26.78,11173,24.23
591,305493,547,162.22,11178,24.44
592,306269,96,21.67,11214,24.23
593,307247,188,32.01,11246,24.34
594,307546,300,52.79,11250,24.34
595,308318,74,19.44,11283,24.44
596,308524,192,32.67,11288,24.44
597,308543,312,55.68,11293,24.01
598,309947,101,22.08,11326,24.34
599,311751,76,19.69,11385,24.34
600,312136,192,32.67,11417,24.01
601,312312,79,20.03,11422,24.44
602,312914,172,29.49,11427,24.23
603,315728,131,24.54,11513,24.23
604,315734,96,21.67,11518,24.34
605,316287,220,37.58,11550,24.34
606,317692,427,101.26,11582,24.34
607,317909,166,28.62,11586,24.23
608,318300,265,45.75,11618,24.44
609,318819,63,17.91,11623,24.34
610,318866,50,15.67,11628,24.44
611,320997,423,97.36,11687,24.23
612,321304,235,40.29,11718,24.34
613,321563,92,21.32,11723,24.23
614,322093,268,46.26,11755,24.44
615,322140,408,90.57,11760,24.23
616,322365,143,25.74,11765,24.23
617,323184,432,101.61,11797,24.34
618,323562,408,90.57,11802,24.44
619,324126,261,45.09,11836,24.44
620,324338,147,26.19,11841,24.44
621,324530,627,249.17,11846,24.34
622,324962,236,40.44,11851,24.23
623,325144,184,31.36,11884,24.44
624,325634,60,17.43,11889,24.44
625,325828,271,46.93,11894,24.34
626,326145,57,16.93,11927,24.34
627,326359,354,67.99,11932,24.34
628,326583,79,20.03,11937,24.23
629,326984,159,27.66,11942,24.44
630,327056,241,41.39,11974,24.34
631,327321,301,53.09,11979,24.23
632,327559,421,97.33,11984,24.23
633,327728,467,121.56,11989,24.23
634,327872,81,20.25,11994,24.23
635,328957,117,23.34,12026,24.44
636,329231,66,18.36,12058,24.23
637,329633,408,90.57,12063,24.44
638,329708,391,82.35,12068,24.44
639,331073,255,43.96,12131,24.23
640,332207,112,22.94,12164,24.34
641,332635,99,21.91,12169,24.44
642,333834,280,48.67,12201,24.23
643,333853,124,23.92,12206,24.34
644,334782,103,22.23,12238,24.34
645,335050,179,30.55,12270,24.34
646,335168,270,46.71,12274,24.23
647,335960,280,48.67,12279,24.44
648,336364,344,64.67,12312,24.44
649,336654,370,73.62,12317,24.34
650,337224,92,21.32,12350,24.23
651,337693,199,33.86,12355,24.34
652,337775,614,229.43,12360,24.34
653,338173,428,101.58,12396,24.34
654,338206,121,23.66,12400,24.12
655,338328,71,19.06,12405,24.23
656,339530,120,23.58,12437,24.34
657,340839,563,181.65,12469,24.34
658,341418,195,33.17,12505,24.34
659,341822,56,16.76,12510,24.34
660,342272,504,143.61,12542,24.34
661,343220,143,25.74,12577,24.44
662,343855,51,15.86,12582,24.34
663,344452,391,82.35,12614,24.44
664,344670,60,17.43,12619,24.44
665,345207,93,21.41,12651,24.44
666,346119,167,28.76,12682,24.44
667,346468,85,20.67,12687,24.44
668,346727,67,18.51,12692,24.44
669,347665,307,54.48,12724,24.34
670,348562,389,81.58,12757,24.44
671,349042,50,15.67,12791,24.34
672,349723,287,50.23,12796,24.34
673,349966,76,19.69,12801,24.34
674,352406,73,19.32,12887,24.34
675,352680,83,20.46,12892,24.34
676,352816,207,35.26,12897,24.44
677,352824,126,24.09,12902,24.34
678,352854,327,59.28,12907,24.34
679,353268,51,15.86,12940,24.23
680,353693,60,17.43,12945,24.44
