Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
468,261110,77,19.81,9411,24.44
469,261385,96,21.67,9416,24.44
470,262771,90,21.14,9448,24.44
471,263884,163,28.2,9479,24.34
472,263898,222,37.96,9484,24.44
473,265200,83,20.46,9542,24.44
474,265222,527,155.96,9547,24.34
475,266207,271,46.93,9583,24.44
476,266582,135,24.92,9588,24.44
477,266649,304,53.73,9593,24.44
478,266997,83,20.46,9598,24.44
479,267310,126,24.09,9631,24.44
480,267752,115,23.18,9636,24.34
481,268737,82,20.36,9668,24.44
482,269082,115,23.18,9700,24.44
483,269124,482,129.6,9705,24.34
484,269756,403,88.99,9710,24.34
485,270042,56,16.76,9743,24.34
486,271365,63,17.91,9775,24.34
487,271488,287,50.23,9780,24.44
488,271986,224,38.29,9785,24.34
489,272044,71,19.06,9817,24.44
490,273228,82,20.36,9849,24.44
491,273863,71,19.06,9854,24.44
492,274444,51,15.86,9886,24.34
493,274656,89,21.05,9890,24.44
494,275627,294,51.51,9921,24.34
495,275683,71,19.06,9926,24.44
496,275946,126,24.09,9931,24.34
497,276517,120,23.58,9963,24.44
498,278967,120,23.58,10022,24.44
499,279955,63,17.91,10054,24.44
500,280073,98,21.83,10086,24.44
501,280139,103,22.23,10091,24.44
502,280738,504,143.61,10096,24.34
503,281900,353,67.64,10131,24.23
504,282042,174,29.79,10163,24.34
505,282539,415,95,10168,24.44
506,282847,139,25.32,10173,24.44
507,282924,176,30.09,10178,24.23
508,282978,568,189.84,10183,24.44
509,283978,50,15.67,10219,24.44
510,285275,101,22.08,10278,24.44
511,287155,624,242.54,10337,24.44
512,287403,63,17.91,10342,24.34
513,289890,152,26.78,10401,24.34
514,290508,504,143.61,10433,24.34
515,291174,99,21.91,10468,24.34
516,291779,63,17.91,10473,24.44
517,291983,273,47.25,10478,24.44
518,292464,604,210.97,10511,24.44
519,292999,220,37.58,10516,24.44
520,293284,120,23.58,10552,24.44
521,293292,216,36.85,10557,24.44
522,293429,472,125.87,10562,24.44
523,293566,99,21.91,10567,24.44
524,294072,135,24.92,10599,24.44
525,294828,49,15.48,10604,24.44
526,297322,224,38.29,10690,24.34
527,299167,348,65.64,10749,24.44
528,299289,193,32.84,10754,24.34
529,300122,206,35.07,10786,24.34
530,300370,455,117.03,10791,24.44
