Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
374,196906,96,21.67,7145,24.01
375,197299,216,36.85,7177,23.91
376,197320,121,23.66,7181,24.12
377,197689,192,32.67,7186,24.34
378,197977,146,26.08,7191,24.12
379,198526,58,17.1,7223,24.34
380,200345,110,22.78,7282,24.01
381,200733,227,38.83,7286,24.23
382,201299,199,33.86,7318,24.12
383,201924,49,15.48,7322,24.23
384,202404,49,15.48,7353,24.12
385,204328,63,17.91,7411,24.34
386,205147,376,76.43,7443,24.01
387,205471,241,41.39,7447,24.12
388,205867,94,21.5,7452,24.23
389,206601,217,37.04,7483,24.23
390,206889,88,20.96,7487,24.12
391,206930,462,120.87,7491,24.23
392,209034,127,24.18,7586,23.91
393,209210,92,21.32,7591,24.12
394,209673,444,109.09,7595,23.8
395,209991,99,21.91,7599,24.34
396,211521,186,31.68,7659,24.01
397,211607,527,155.96,7663,24.12
398,211908,133,24.73,7668,24.12
399,212184,312,55.68,7700,24.01
400,212737,115,23.18,7705,24.12
401,213327,71,19.06,7737,23.8
402,213557,291,50.97,7742,24.01
403,213582,323,58.48,7747,24.01
404,213982,124,23.92,7752,23.8
405,215879,94,21.5,7811,23.8
406,215954,384,80.08,7815,24.12
407,216584,99,21.91,7849,24.34
408,216821,174,29.79,7853,24.12
409,218347,184,31.36,7911,23.69
410,218523,76,19.69,7915,24.23
411,218575,56,16.76,7919,24.12
412,219168,89,21.05,7951,23.8
413,219434,96,21.67,7955,23.8
414,219606,393,83.55,7960,24.01
415,220610,63,17.91,7993,24.12
416,220668,376,76.43,7998,23.8
417,221641,316,56.81,8030,24.01
418,223401,70,18.93,8090,24.01
419,223579,197,33.52,8095,24.01
420,225482,167,28.76,8153,24.01
421,226312,96,21.67,8185,24.12
422,226351,50,15.67,8190,24.01
423,226540,259,44.69,8194,23.91
424,227069,428,101.58,8226,24.23
425,227079,291,50.97,8230,24.01
426,227439,112,22.94,8235,23.8
427,227559,81,20.25,8240,24.12
428,227687,255,43.96,8245,24.12
429,228228,56,16.76,8277,24.12
430,230371,120,23.58,8336,24.12
431,230420,271,46.93,8341,24.01
432,230985,67,18.51,8346,24.12
433,231403,112,22.94,8378,23.91
434,231767,99,21.91,8383,24.23
435,232293,302,53.3,8414,23.8
436,232313,318,57.28,8419,23.8
437,233407,58,17.1,8452,23.91
438,234104,109,22.7,8484,24.01
439,235581,255,43.96,8515,24.01
440,235660,71,19.06,8519,23.91
441,236091,92,21.32,8551,24.12
442,236883,225,38.48,8555,24.12
443,236964,78,19.92,8560,24.01
444,237322,508,144.95,8591,24.34
445,237534,467,121.56,8596,24.23
446,238101,231,39.55,8631,23.91
447,238288,284,49.41,8636,23.69
448,238490,96,21.67,8641,24.23
449,239154,376,76.43,8673,24.12
450,239410,69,18.79,8677,24.12
451,239609,179,30.55,8682,24.23
452,240496,238,40.82,8713,23.8
453,242952,63,17.91,8773,24.34
454,243206,331,60.51,8805,24.12
455,244099,271,46.93,8838,23.91
456,244990,270,46.71,8843,23.91
457,245455,334,61.44,8876,24.01
458,245722,67,18.51,8881,23.91
459,245764,327,59.28,8886,24.12
460,245779,188,32.01,8891,24.12
461,246719,255,43.96,8923,24.01
462,247877,56,16.76,8954,23.69
463,248668,73,19.32,8986,24.23
464,249278,624,242.54,9018,23.8
465,251617,472,125.87,9085,23.91
466,251642,108,22.63,9090,24.01
467,253070,423,97.36,9149,24.23
468,253175,71,19.06,9153,24.01
469,253625,127,24.18,9158,23.91
470,254842,556,174.47,9190,24.12
471,255151,371,73.82,9226,24.01
472,256435,184,31.36,9258,24.34
473,257162,173,29.64,9289,24.23
474,257294,121,23.66,9293,24.23
475,258290,71,19.06,9325,24.34
476,258326,412,92.93,9330,24.44
477,258525,705,364.03,9334,24.23
478,259591,291,50.97,9369,24.23
479,260770,103,22.23,9402,24.01
480,261469,56,16.76,9433,24.12
481,262121,131,24.54,9465,24.01
482,263794,115,23.18,9497,24.01
483,264257,135,24.92,9529,24.12
484,264356,377,76.28,9534,24.23
485,265262,371,73.82,9566,24.01
486,265369,85,20.67,9570,24.23
487,265408,393,83.55,9574,23.91
488,265818,572,183.73,9578,24.12
489,265841,89,21.05,9583,24.23
490,266239,335,61.77,9614,23.8
491,266420,332,61.17,9619,23.91
492,267410,455,117.03,9652,23.8
493,268361,62,17.75,9687,24.12
494,269210,88,20.96,9719,24.23
495,269495,51,15.86,9723,24.34
496,269878,473,126.29,9727,23.91
497,269992,309,55.01,9732,24.23
498,270437,542,168.67,9767,24.12
499,271677,156,27.28,9803,24.23
500,271752,57,16.93,9808,24.12
501,272993,409,91.12,9840,24.01
502,273193,154,27.02,9871,24.01
503,274338,335,61.77,9903,24.23
504,275257,487,132.65,9936,24.23
505,275994,391,82.35,9941,24.23
506,276919,142,25.64,9975,23.69
507,277207,50,15.67,10007,24.34
508,281436,512,144.44,10120,23.8
509,281540,291,50.97,10124,24.23
510,282056,345,64.98,10157,23.91
511,282221,167,28.76,10162,24.01
512,282283,177,30.25,10167,24.12
513,283254,89,21.05,10198,24.44
514,283316,198,33.69,10202,24.01
515,283871,204,34.73,10207,24.01
516,284415,460,119.54,10239,23.69
517,284683,131,24.54,10244,24.01
518,284764,387,81.05,10249,24.12
519,285323,89,21.05,10283,23.58
520,285610,103,22.23,10287,24.23
521,285626,71,19.06,10291,23.91
522,286170,301,53.09,10323,24.23
523,286871,304,53.73,10328,23.91
524,287157,1023,2152.99,10361,23.91
525,287420,353,67.64,10366,24.12
526,287660,316,56.81,10370,24.34
527,288249,62,17.75,10403,24.23
528,290833,89,21.05,10462,24.01
529,291164,201,34.22,10493,24.34
530,291235,76,19.69,10498,24.12
531,291611,236,40.44,10503,23.91
532,292740,60,17.43,10536,24.12
533,293510,112,22.94,10568,24.12
534,293882,184,31.36,10573,24.12
535,294975,188,32.01,10605,24.12
536,295885,483,132.6,10636,24.01
537,296150,76,19.69,10671,24.01
538,296696,197,33.52,10676,24.01
539,297374,79,20.03,10708,24.34
540,298442,127,24.18,10740,24.12
541,299257,97,21.75,10772,24.23
542,299416,194,33,10777,24.12
543,299764,70,18.93,10782,24.12
544,300694,94,21.5,10814,24.01
545,302732,67,18.51,10872,23.91
546,302969,76,19.69,10877,24.12
