Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
524,285107,57,16.93,10297,24.44
525,285452,56,16.76,10302,24.34
526,286293,97,21.75,10334,24.44
527,286577,88,20.96,10339,24.44
528,286791,152,26.78,10344,24.34
529,288547,499,141.24,10403,24.34
530,291890,127,24.18,10498,24.44
531,292187,51,15.86,10530,24.44
532,293538,494,141.37,10562,24.34
533,294475,66,18.36,10597,24.34
534,296444,83,20.46,10656,24.23
535,296956,79,20.03,10661,24.44
536,296972,409,91.12,10665,24.44
537,297155,124,23.92,10699,24.23
538,298411,518,151.06,10731,24.34
539,298568,307,54.48,10736,24.01
540,298649,359,69.86,10741,24.34
541,298716,295,51.75,10745,24.34
542,298827,71,19.06,10750,24.44
543,299317,103,22.23,10782,24.34
544,300585,327,59.28,10814,24.44
545,300653,466,122,10819,24.44
546,301085,88,20.96,10854,24.44
547,301602,153,26.9,10859,24.34
548,301815,63,17.91,10864,24.34
549,302452,253,43.55,10896,24.34
550,302922,82,20.36,10901,24.44
551,303075,133,24.73,10933,24.44
552,303188,179,30.55,10938,24.34
553,303790,120,23.58,10942,24.34
554,304328,184,31.36,10974,24.23
555,304781,316,56.81,10979,24.44
556,305622,167,28.76,11012,24.44
557,305632,216,36.85,11017,24.44
558,306475,195,33.17,11049,24.44
559,306491,210,35.78,11054,24.34
560,306673,236,40.44,11059,24.34
561,307848,56,16.76,11092,24.34
562,307949,172,29.49,11097,24.44
563,308152,63,17.91,11129,24.44
564,308657,691,332.16,11134,24.44
565,309204,449,112.05,11170,24.23
566,309573,275,47.73,11175,24.34
567,309851,499,141.24,11180,24.44
568,313102,57,16.93,11305,24.44
569,313299,227,38.83,11310,24.34
570,313903,319,57.64,11315,24.34
571,313989,401,87.91,11320,24.34
572,314151,70,18.93,11354,24.34
573,314364,88,20.96,11359,24.44
574,315385,51,15.86,11391,24.34
575,315855,90,21.14,11396,24.23
576,316522,227,38.83,11427,24.34
577,316905,61,17.6,11432,24.44
578,317650,166,28.62,11464,24.44
579,318105,352,66.89,11496,24.44
580,319394,78,19.92,11529,24.44
581,319733,248,42.69,11534,24.44
582,320190,49,15.48,11567,24.44
583,320288,268,46.26,11572,24.44
584,320419,53,16.22,11577,24.44
585,321458,93,21.41,11608,24.44
586,322134,167,28.76,11639,24.44
587,322365,60,17.43,11644,24.34
588,322748,112,22.94,11649,24.44
589,322918,67,18.51,11654,24.34
590,323109,248,42.69,11686,24.34
591,323591,287,50.23,11691,24.44
592,324237,163,28.2,11724,24.34
593,324314,207,35.26,11729,24.44
594,324800,121,23.66,11734,24.44
595,325211,304,53.73,11766,24.44
596,326168,76,19.69,11799,24.44
597,327342,66,18.36,11831,24.34
598,330501,63,17.91,11917,24.34
599,330553,62,17.75,11922,24.44
600,330632,236,40.44,11927,24.44
601,331765,393,83.55,11960,24.44
602,331965,556,174.47,11965,24.44
603,332136,476,129.76,12001,24.34
604,332165,56,16.76,12006,24.23
605,332541,89,21.05,12011,24.44
606,332914,359,69.86,12015,24.34
607,334671,236,40.44,12075,24.44
608,334925,67,18.51,12080,24.34
609,335062,166,28.62,12112,24.44
610,337003,71,19.06,12144,24.44
611,338583,75,19.57,12203,24.44
612,338659,163,28.2,12208,24.34
613,338751,480,130.21,12213,24.44
614,338879,141,25.53,12218,24.34
615,339611,243,41.74,12250,24.44
616,339941,236,40.44,12255,24.44
617,340585,115,23.18,12288,24.34
618,340643,355,68.3,12293,24.34
619,340671,435,104.92,12297,24.34
620,340851,74,19.44,12302,24.34
621,341149,103,22.23,12334,24.44
622,341868,433,104.37,12339,24.44
623,342944,156,27.28,12373,24.44
624,343256,63,17.91,12405,24.34
625,343355,511,149.39,12410,24.34
626,343698,156,27.28,12415,24.44
627,343947,56,16.76,12420,24.44
628,344418,63,17.91,12452,24.44
629,344544,176,30.09,12457,24.23
630,344620,366,72.41,12462,24.34
631,345052,96,21.67,12495,24.44
632,345661,297,52.13,12500,24.44
633,345886,184,31.36,12505,24.44
634,347220,69,18.79,12564,24.34
635,348080,98,21.83,12596,24.44
636,348771,305,53.88,12601,24.44
637,348927,376,76.43,12606,24.34
638,348962,335,61.77,12611,24.44
639,349032,376,76.43,12644,24.44
640,349414,112,22.94,12649,24.44
641,349448,255,43.96,12654,24.34
642,349713,179,30.55,12659,24.34
643,349935,353,67.64,12663,24.44
644,350253,115,23.18,12696,24.34
645,351932,280,48.67,12728,24.34
646,354400,323,58.48,12817,24.34
647,354446,131,24.54,12822,24.44
648,356210,61,17.6,12881,24.44
649,357159,83,20.46,12913,24.44
650,357485,71,19.06,12918,24.44
651,357701,71,19.06,12923,24.44
652,357795,499,141.24,12928,24.34
653,358043,216,36.85,12963,24.44
654,358493,363,71.2,12968,24.34
655,358527,57,16.93,12973,24.34
656,358662,280,48.67,12978,24.44
657,360056,71,19.06,13039,24.44
658,361088,231,39.55,13071,24.23
659,361121,195,33.17,13076,24.34
